filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
BJ09242025_Cu08_30cm_IDM.Spe,62ZN,243.36,11663.640855926056,175.30968172290488,0.0252,0.0023,0.001906350759155,2.6009928118832312e-05,262332259.95659563,24648051.165974867,129418.9738315716,12159.867373445912,1.0958008341788683,09/24/2025 10:37:56,1876.0,2027.0
BJ09242025_Cu08_30cm_IDM.Spe,62ZN,246.95,8644.498422818355,163.41319579169038,0.019,0.0018,0.0018801590019736,2.6149490053329425e-05,261464381.55670285,25673534.281105693,128990.81477883711,12665.77912240044,1.0958008341788683,09/24/2025 10:37:56,1876.0,2027.0
BJ09242025_Cu08_30cm_IDM.Spe,62ZN,260.43,6001.305921172038,137.28264319189853,0.0135,0.0013,0.0017874193744626,2.6291402417348823e-05,268723997.19140446,27112177.39180941,132572.27291139835,13375.519186881802,0.84748156915439,09/24/2025 10:37:56,1876.0,2027.0
BJ09242025_Cu08_30cm_IDM.Spe,61CU,282.956,27885.887071248864,202.96033311650197,0.122,0.0061,0.0016504193779681,2.58188504290063e-05,149641217.8768962,7965583.693195239,73823.98513907065,3929.740351847676,0.9433089450192206,09/24/2025 10:37:56,1876.0,2027.0
BJ09242025_Cu08_30cm_IDM.Spe,62ZN,349.6,1287.3017961483586,133.62970822825045,0.0045,0.0004,0.0013467186650603,2.8864814423564023e-05,229515434.6989799,32387824.419732597,113229.12417315242,15978.206423153722,1.2090394670985012,09/24/2025 10:37:56,1876.0,2027.0
BJ09242025_Cu08_30cm_IDM.Spe,61CU,373.05,3719.7476947289792,134.99418042763574,0.021,0.004,0.0012664158343822,3.1122447408931956e-05,151125855.10243282,29641867.220081437,74556.41593607934,14623.516142122073,1.2282502550475825,09/24/2025 10:37:56,1876.0,2027.0
BJ09242025_Cu08_30cm_IDM.Spe,62ZN,394.03,6580.53709070989,107.06385660233995,0.0224,0.0017,0.0012028913351808,3.250661247994831e-05,263880829.81658268,21930190.496785957,130182.94514878278,10819.038232257502,0.7769728919181625,09/24/2025 10:37:56,1876.0,2027.0
BJ09242025_Cu08_30cm_IDM.Spe,61CU,529.169,477.352163022927,43.93517923095277,0.0038,0.0007,0.0009159553009306,3.292048255316546e-05,148184211.1164953,31709833.32769055,73105.1855532784,15643.72635801211,1.019148018359173,09/24/2025 10:37:56,1876.0,2027.0
BJ09242025_Cu08_30cm_IDM.Spe,62ZN,548.35,33786.301985684404,181.9622320004007,0.153,0.0139999999999999,0.0008865700139915,3.1993339895239324e-05,269126897.6162364,26551925.991168376,132771.0397712069,13099.12481064054,1.0309952144441297,09/24/2025 10:37:56,1876.0,2027.0
BJ09242025_Cu08_30cm_IDM.Spe,61CU,588.605,1205.6249483977676,58.80623690504208,0.0117,0.0021,0.0008307913558685,2.966227487578127e-05,134015586.1263848,25673341.57598818,66115.23735884795,12665.68405327488,1.6570705942585495,09/24/2025 10:37:56,1876.0,2027.0
