filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
CP09242025_Cu04_40cm_IDM.Spe,56NI,158.38,1561.6002533266667,184.3682400556777,0.988,0.01,0.0014586570666953,5.1043847024634824e-05,1221204.7008824,154019.0475336693,646.1400533769312,81.49155954162397,1.2148031517277829,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,62ZN,243.36,3089.621775679082,165.1049737459543,0.0252,0.0023,0.0010527358636588,2.1070314201279178e-05,131254469.13755508,14324260.250733184,69446.80906748946,7578.973677636605,1.1121407248497224,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,62ZN,246.95,2215.3270008105137,154.83902999553308,0.019,0.0018,0.001038286838748,2.0017120256320735e-05,126559757.04470558,15335878.959101554,66962.83441518815,8114.221671482304,1.1121407248497224,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,62ZN,260.43,1627.6378714618024,124.41219537748168,0.0135,0.0013,0.0009872335549355,1.6601818040134918e-05,137636256.29802626,17416733.03162035,72823.41603070173,9215.202662232989,0.6068089053801403,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,282.956,162708.4442950397,438.1803045262299,0.122,0.0061,0.0009121031059323,1.267538068585922e-05,1647915994.4348953,85731576.35059127,871913.2245687277,45360.62240772025,1.104185449000447,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,373.05,20904.54416260581,185.1630960368533,0.021,0.004,0.000702788524986,9.418226516630751e-06,1596340334.1798894,305343915.9293563,844624.515439095,161557.62747584988,1.0284548153227702,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,62ZN,394.03,1718.318343426186,102.70715380064637,0.0224,0.0017,0.0006682383894493,9.432379856512034e-06,129375764.12398896,13010861.856482234,68452.78525078781,6884.053892318642,0.8363341235231889,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,529.169,2682.7013711988293,79.75437496536902,0.0038,0.0007,0.0005121270653236,8.411177221878292e-06,1553601914.6600368,292555433.26177496,822011.5950582206,154791.23453003966,1.5091033869750703,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,62ZN,548.35,8917.250457972816,107.32619194216056,0.153,0.0139999999999999,0.0004961246286128,8.138563366017315e-06,132396800.09287308,12489552.840347083,70051.21698035613,6608.229016056658,1.18087877359842,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,588.605,7469.685649009913,97.4017632428142,0.0117,0.0021,0.0004657358526689,7.52853608614425e-06,1544918357.9930267,279714944.8166202,817417.1206312311,147997.32529979903,1.1250707203796266,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,62ZN,596.56,13972.756958777742,127.34420286302976,0.26,0.013,0.0004601798577072,7.4047190780586574e-06,131616365.28305522,7104292.59521373,69638.28850955302,3758.884971012555,1.1250707203796266,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,656.008,58829.10932420754,336.8346601454339,0.108,0.02,0.0004225938072458,6.488447868335177e-06,1452693959.6767428,270134976.1675068,768621.1426861073,142928.55881878667,2.0663904268204294,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,58CO,810.7593,1098.0170657146596,49.69196172870439,0.9945,0.049725,0.0003485625068979,4.61005086516662e-06,3569869.774778433,267948.8899793774,1888.8199866552557,141.77189945998805,1.1196691453746566,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,56NI,811.85,16.23043804701069,29.506485468437056,0.86,0.009,0.0003481310394933,4.601004538426774e-06,61096.70439911846,112107.3717617313,32.326298623872205,59.31606971520174,1.1196691453746566,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,816.692,1621.3889602655513,49.8257976472313,0.0031,0.0006,0.0003462279581251,4.561739062600634e-06,1702519617.732051,337063114.367813,900804.0305460588,178340.272152282,1.1196691453746566,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,841.211,1110.141237185083,40.86536491471439,0.0021,0.0004,0.0003368900767848,4.385828645476373e-06,1768477192.2635255,347929609.10108364,935702.2181288496,184089.7402651236,0.9978516145156416,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,902.294,331.4694912563712,36.19201051115896,0.00083,0.00016,0.0003155892378612,4.119171919168132e-06,1426172396.119999,326059397.73595697,754588.5693756609,172518.1998602947,1.3322391622580618,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,908.631,4587.14828570038,81.34383167504986,0.011,0.002,0.0003135165825722,4.105493399831776e-06,1499057595.8744235,275442558.7693275,793152.1671293247,145736.80358165476,1.3322391622580618,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,1099.56,856.5565500884329,31.52873798142569,0.0025,0.0004,0.0002601932491723,4.49734428428584e-06,1484050737.1058624,250189583.9354377,785212.030214742,132375.44123568133,0.9852044984949508,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,1132.351,312.77922976779115,23.587680803250052,0.0009,0.00017,0.000252767010318,4.65978937653525e-06,1549543405.9977903,328353911.2390767,819864.2359776668,173732.22816882364,1.2788075220156772,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,1185.234,12530.345058745685,185.4653367940683,0.037,0.0069999999999999,0.0002416062642616,4.937912404265542e-06,1579726334.0576377,301844076.09674245,835834.0391839353,159705.8603686468,2.9825946335448275,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,64CU,1345.77,473.18500795332506,25.190857222912303,0.00475,0.0001099999999999,0.0002126429598513,5.7276846081071915e-06,527977116.125767,41604177.836174294,279352.9714951148,22012.792505912326,1.2761397448800869,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,57NI,1377.63,60.87722427285769,16.222734887073166,0.8170000000000001,0.024,0.0002076348621794,5.862917096509733e-06,404446.6601475559,120725.70027544023,213.9929418770137,63.87603189176732,1.2313732085053266,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,56NI,1561.8,5.640514101374703,4.097770104749371,0.14,0.006,0.0001826374968791,6.472780702496175e-06,248616.2141412008,209217.2278016777,131.5429704450798,110.6969459268136,1.9871519360743573,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,1662.0,101.76801953002555,11.261788485483647,0.00052,0.0001,0.0001713597762612,6.694284201090623e-06,1287146068.310812,316806847.8100006,681029.6657729164,167622.67079894213,1.566689920657083,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,61CU,1729.473,84.99502053708092,10.49324514115909,0.00054,0.0001,0.0001645048677034,6.80742009852202e-06,1078325093.341946,270685441.38875157,570542.377429601,143219.8102585987,1.5116884384403575,09/24/2025 23:26:37,1677.0,1890.0
CP09242025_Cu04_40cm_IDM.Spe,60CU,1791.6,3.629957424195645,2.2531707343483034,0.454,0.023,0.0001586556552556,6.8890512674139765e-06,56796.14547018905,46323.68817179677,30.050870619147645,24.50988792158559,1.1844529806712876,09/24/2025 23:26:37,1677.0,1890.0
