sample,isotope,EoB,units,A0_parent,A0_err_parent,A0_vector,cov_A0,peak_data_file,plot_file
Cu01,62ZN,09/24/2025 15:43:00,h,101553.75876837086,2914.4890828744983,"[101553.75876837086, 0.0]","[[8494246.614194633, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu01_peakData_combined.csv,
Cu01,63ZN,09/24/2025 15:43:00,h,1525407.297819478,34475.42755557202,[1525407.297819478],[[1188555105.1394947]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu01_peakData_combined.csv,
Cu01,65ZN,09/24/2025 15:43:00,h,76.42378113334702,4.642982966152234,[76.42378113334702],[[21.55729082397979]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu01_peakData_combined.csv,
Cu01,56CO,09/24/2025 15:43:00,h,59.1511977200697,4.057282042957205,[59.1511977200697],[[16.46153757610299]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu01_peakData_combined.csv,
Cu01,58CO,09/24/2025 15:43:00,h,1695.1697999380794,119.15894305675131,[1695.1697999380794],[[14198.853710402103]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu01_peakData_combined.csv,
Cu02,62ZN,09/24/2025 15:43:00,h,118595.48098282781,4286.339090217385,"[118595.48098282781, 0.0]","[[18372702.796325598, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu02_peakData_combined.csv,
Cu02,63ZN,09/24/2025 15:43:00,h,2179299.6358795324,64437.11645070167,[2179299.6358795324],[[4152141976.481288]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu02_peakData_combined.csv,
Cu02,65ZN,09/24/2025 15:43:00,h,88.18029316250528,5.215468494637718,[88.18029316250528],[[27.201111618558624]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu02_peakData_combined.csv,
Cu02,56CO,09/24/2025 15:43:00,h,12.338076998631657,4.925602998963122,[12.338076998631657],[[24.261564903394493]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu02_peakData_combined.csv,
Cu02,58CO,09/24/2025 15:43:00,h,2648.058999733728,107.18597831288459,[2648.058999733728],[[11488.833946890165]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu02_peakData_combined.csv,
Cu03,62ZN,09/24/2025 15:43:00,h,116249.38118147985,4031.2703743637317,"[116249.38118147985, 0.0]","[[16251140.831222702, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu03_peakData_combined.csv,
Cu03,63ZN,09/24/2025 15:43:00,h,3065701.5279942174,82157.6705833477,[3065701.5279942174],[[6749882835.681876]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu03_peakData_combined.csv,
Cu03,65ZN,09/24/2025 15:43:00,h,104.0915666018771,3.1861259605598153,[104.0915666018771],[[10.151398636553205]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu03_peakData_combined.csv,
Cu03,56CO,09/24/2025 15:43:00,h,1.4761652230814353,0.5359157768463215,[1.4761652230814353],[[0.28720571987279625]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu03_peakData_combined.csv,
Cu03,58CO,09/24/2025 15:43:00,h,3137.9056331623947,211.5550453129992,[3137.9056331623947],[[44755.53719738514]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu03_peakData_combined.csv,
Cu04,62ZN,09/24/2025 15:43:00,h,127225.65991749085,1934.8490165829423,"[127225.65991749085, 0.0]","[[3743640.7169719795, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu04_peakData_combined.csv,
Cu04,63ZN,09/24/2025 15:43:00,h,4266756.682425378,153971.74238912508,[4266756.682425378],[[23707297454.343094]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu04_peakData_combined.csv,
Cu04,65ZN,09/24/2025 15:43:00,h,121.79734575236918,15.437920201302505,[121.79734575236918],[[238.32938014178401]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu04_peakData_combined.csv,
Cu04,56CO,09/24/2025 15:43:00,h,5.717150809604211,inf,[5.717150809604211],[[inf]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu04_peakData_combined.csv,
Cu04,58CO,09/24/2025 15:43:00,h,2948.140529341513,295.7246927850374,[2948.140529341513],[[87453.09392280476]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu04_peakData_combined.csv,
Cu05,62ZN,09/24/2025 15:43:00,h,148564.53528522045,2372.1058451386234,"[148564.53528522045, 0.0]","[[5626886.140540823, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu05_peakData_combined.csv,
Cu05,63ZN,09/24/2025 15:43:00,h,4837894.751218645,164569.23711358017,[4837894.751218645],[[27083033804.145767]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu05_peakData_combined.csv,
Cu05,65ZN,09/24/2025 15:43:00,h,131.2065207317443,6.96366614310879,[131.2065207317443],[[48.49264615267964]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu05_peakData_combined.csv,
Cu05,56CO,09/24/2025 15:43:00,h,13.80923302806983,inf,[13.80923302806983],[[inf]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu05_peakData_combined.csv,
Cu05,58CO,09/24/2025 15:43:00,h,2550.9747841471058,194.40915385545335,[2550.9747841471058],[[37794.919102793334]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu05_peakData_combined.csv,
Cu06,62ZN,09/24/2025 15:43:00,h,228496.13560909554,3209.8728824575023,"[228496.13560909554, 0.0]","[[10303283.921536034, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu06_peakData_combined.csv,
Cu06,63ZN,09/24/2025 15:43:00,h,4785601.34763255,160622.55601012555,[4785601.34763255],[[25799605499.22592]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu06_peakData_combined.csv,
Cu06,65ZN,09/24/2025 15:43:00,h,136.84635474958952,4.571002399078803,[136.84635474958952],[[20.894062932384173]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu06_peakData_combined.csv,
Cu06,56CO,09/24/2025 15:43:00,h,,,[],[],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu06_peakData_combined.csv,
Cu06,58CO,09/24/2025 15:43:00,h,1501.5691329415376,90.21035266693265,[1501.5691329415376],[[8137.907728292364]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu06_peakData_combined.csv,
Cu07,62ZN,09/24/2025 15:43:00,h,420957.14450732723,7067.475330119283,"[420957.14450732723, 0.0]","[[49949207.54184467, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu07_peakData_combined.csv,
Cu07,63ZN,09/24/2025 15:43:00,h,3523460.3579217475,84022.167074732,[3523460.3579217475],[[7059724559.934177]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu07_peakData_combined.csv,
Cu07,65ZN,09/24/2025 15:43:00,h,144.23285254228693,0.8228459042530334,[144.23285254228693],[[0.6770753821459922]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu07_peakData_combined.csv,
Cu07,56CO,09/24/2025 15:43:00,h,,,[],[],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu07_peakData_combined.csv,
Cu07,58CO,09/24/2025 15:43:00,h,282.60086996509574,4.854846351070264,[282.60086996509574],[[23.56953309250025]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu07_peakData_combined.csv,
