filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
DD09252025_Cu04_30cm_IDM.Spe,62ZN,243.36,2850.5435954405148,118.01086852039516,0.0252,0.0023,0.001906350759155,2.6009928118832312e-05,63329936.54674049,6514388.543358802,37318.76048717766,3838.767556487214,0.978762163521419,09/25/2025 06:28:15,1590.0,1697.0
DD09252025_Cu04_30cm_IDM.Spe,62ZN,246.95,2442.759659048078,118.15734481973172,0.019,0.0018,0.0018801590019736,2.6149490053329425e-05,72982254.97438994,7967301.730315474,43006.63227718912,4694.933252984958,0.978762163521419,09/25/2025 06:28:15,1590.0,1697.0
DD09252025_Cu04_30cm_IDM.Spe,62ZN,260.43,1651.706477485886,121.14868139984804,0.0135,0.0013,0.0017874193744626,2.6291402417348823e-05,73056247.3740982,9087985.21864459,43050.234162697816,5355.324230197165,1.0486517525404462,09/25/2025 06:28:15,1590.0,1697.0
DD09252025_Cu04_30cm_IDM.Spe,61CU,282.956,62902.72525308173,249.6082647214647,0.122,0.0061,0.0016504193779681,2.58188504290063e-05,333426439.4666922,17568671.401791975,196479.92897271196,10352.782204945182,0.8783676598868077,09/25/2025 06:28:15,1590.0,1697.0
DD09252025_Cu04_30cm_IDM.Spe,61CU,373.05,8316.747800382373,120.54561958290782,0.021,0.004,0.0012664158343822,3.1122447408931956e-05,333766406.76432484,64387895.84325111,196680.2632671331,37942.18965424343,0.9487931831267006,09/25/2025 06:28:15,1590.0,1697.0
DD09252025_Cu04_30cm_IDM.Spe,62ZN,394.03,1737.560578350337,86.08500082663537,0.0224,0.0017,0.0012028913351808,3.250661247994831e-05,68825639.90215841,6715384.847027171,40557.24213444809,3957.2096918250863,1.00401942857268,09/25/2025 06:28:15,1590.0,1697.0
DD09252025_Cu04_30cm_IDM.Spe,61CU,529.169,1000.4837619896732,42.14568403161237,0.0038,0.0007,0.0009159553009306,3.292048255316546e-05,306786952.5031286,59803268.70710116,180781.94019041167,35240.58262056638,0.9703305457834704,09/25/2025 06:28:15,1590.0,1697.0
DD09252025_Cu04_30cm_IDM.Spe,62ZN,548.35,9116.29829139801,100.54529588974134,0.153,0.0139999999999999,0.0008865700139915,3.1993339895239324e-05,71729660.62133595,7139328.707939556,42268.50949990333,4207.029291655602,1.1017971940654572,09/25/2025 06:28:15,1590.0,1697.0
DD09252025_Cu04_30cm_IDM.Spe,61CU,588.605,2882.0899701493136,64.3617697922793,0.0117,0.0021,0.0008307913558685,2.966227487578127e-05,316456791.9269615,58639426.15230924,186480.13666880463,34554.75907619872,1.1946112276305263,09/25/2025 06:28:15,1590.0,1697.0
DD09252025_Cu04_30cm_IDM.Spe,62ZN,596.56,13670.532356744465,126.56146677196652,0.26,0.013,0.0008205971761697,2.9156254544634767e-05,68385933.40843126,4282335.067972742,40298.13400614689,2523.473817308628,1.1946112276305263,09/25/2025 06:28:15,1590.0,1697.0
