sample,isotope,EoB,units,A0_parent,A0_err_parent,A0_vector,cov_A0,peak_data_file,plot_file
Cu01,62ZN,09/24/2025 15:43:00,h,101553.75877070091,2914.489083908183,"[101553.75877070091, 0.0]","[[8494246.62021996, 0.0], [0.0, 0.0]]",Cu01_IDM_peakData_combined.csv,
Cu01,63ZN,09/24/2025 15:43:00,h,1525407.297819478,34475.42755557202,[1525407.297819478],[[1188555105.1394947]],Cu01_IDM_peakData_combined.csv,
Cu01,65ZN,09/24/2025 15:43:00,h,63.613142277938195,1.1453622890168491,[63.613142277938195],[[1.3118547731019161]],Cu01_IDM_peakData_combined.csv,
Cu01,56CO,09/24/2025 15:43:00,h,54.37453737889275,8.295478672137,[54.37453737889275],[[68.81496639987985]],Cu01_IDM_peakData_combined.csv,
Cu01,58CO,09/24/2025 15:43:00,h,1526.2362708710236,119.07101014507938,[1526.2362708710236],[[14177.905456969596]],Cu01_IDM_peakData_combined.csv,
Cu02,62ZN,09/24/2025 15:43:00,h,118595.48098087007,4286.339088534726,"[118595.48098087007, 0.0]","[[18372702.781900708, 0.0], [0.0, 0.0]]",Cu02_IDM_peakData_combined.csv,
Cu02,63ZN,09/24/2025 15:43:00,h,2179299.6358795324,64437.11645070167,[2179299.6358795324],[[4152141976.481288]],Cu02_IDM_peakData_combined.csv,
Cu02,65ZN,09/24/2025 15:43:00,h,88.18029316250528,5.215468494637718,[88.18029316250528],[[27.201111618558624]],Cu02_IDM_peakData_combined.csv,
Cu02,56CO,09/24/2025 15:43:00,h,12.338076998631657,4.925602998963122,[12.338076998631657],[[24.261564903394493]],Cu02_IDM_peakData_combined.csv,
Cu02,58CO,09/24/2025 15:43:00,h,2648.058999733728,107.18597831288459,[2648.058999733728],[[11488.833946890165]],Cu02_IDM_peakData_combined.csv,
Cu03,62ZN,09/24/2025 15:43:00,h,116249.38118235361,2376.881576694302,"[116249.38118235361, 0.0]","[[5649566.029628792, 0.0], [0.0, 0.0]]",Cu03_IDM_peakData_combined.csv,
Cu03,63ZN,09/24/2025 15:43:00,h,3065701.5279942174,82157.6705833477,[3065701.5279942174],[[6749882835.681876]],Cu03_IDM_peakData_combined.csv,
Cu03,65ZN,09/24/2025 15:43:00,h,92.01374967224788,4.204518075976354,[92.01374967224788],[[17.6779722512119]],Cu03_IDM_peakData_combined.csv,
