filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
HA10242025_Det2_Cu01_10cm_002.Spe,57CO,122.06065,301448.16894881474,1021.3663762727125,0.856,0.0017000000000000001,0.015003190324106266,0.00021935201983439936,23520151.85969246,358631.19555814017,870.4075146063378,13.271822794691,3.7885326924020006,10/24/2025 15:16:32,26967.0,27022.0
HA10242025_Det2_Cu01_10cm_002.Spe,57CO,136.47356,36133.89508671538,175.3512973538553,0.1068,0.0008,0.014457428716159904,0.00024763726452543594,23449701.642378967,469420.293093801,867.8003716371463,17.37178199592188,0.8545914144607871,10/24/2025 15:16:32,26967.0,27022.0
HA10242025_Det2_Cu01_10cm_002.Spe,58CO,810.7593,155711.9196704838,840.8824174343644,0.9945,0.049725000000000005,0.00384514426807186,3.197100976216012e-05,40802736.144778036,2082426.3429801548,1509.9820940262762,77.06410861446801,4.97370679143939,10/24/2025 15:16:32,26967.0,27022.0
HA10242025_Det2_Cu01_10cm_002.Spe,54MN,834.848,4290.415292761849,81.17850048664192,0.99976,1e-05,0.003752825157808789,3.067859475989178e-05,1145856.1454972995,29390.82861781026,42.40456463242171,1.0876629641703153,1.5552461477543311,10/24/2025 15:16:32,26967.0,27022.0
HA10242025_Det2_Cu01_10cm_002.Spe,56CO,846.77,4526.03052261251,85.94235551287127,0.9993989999999999,0.04996995,0.0037087073578942918,3.0124399409285747e-05,1223603.9110353808,68647.15311321018,45.28176711699285,2.5404171827847746,1.6539931213647352,10/24/2025 15:16:32,26967.0,27022.0
HA10242025_Det2_Cu01_10cm_002.Spe,58CO,863.951,1004.4844641210007,39.931412182019265,0.006860000000000001,0.0001,0.003646859837269692,2.94286149995823e-05,40233229.157625034,2149170.9471258074,1488.9064154253954,79.53411838967536,1.297869444017629,10/24/2025 15:16:32,26967.0,27022.0
HA10242025_Det2_Cu01_10cm_002.Spe,56CO,1037.843,585.8153195643923,35.35403106955623,0.1405,0.0004,0.003107591599750703,2.8618181160311883e-05,1344452.0450902416,99180.78438971068,49.75397990860194,3.670371711557645,1.679205478840016,10/24/2025 15:16:32,26967.0,27022.0
HA10242025_Det2_Cu01_10cm_002.Spe,65ZN,1115.539,2876.9249925125005,67.53860938021066,0.5004,0.001,0.0029116695787947022,3.0370097191353248e-05,1978581.7712228694,62927.08206621772,73.22114466815445,2.3287351811937578,1.6486524977685846,10/24/2025 15:16:32,26967.0,27022.0
HA10242025_Det2_Cu01_10cm_002.Spe,62CU,1172.97,1267.1414461131587,808.4221294905565,0.0034200000000000003,0.000171,0.002782222896175089,3.2061532140513556e-05,133441810.08021957,85491509.74142331,4938.2654903493285,3163.7743224566393,1.6362046980671023,10/24/2025 15:16:32,26967.0,27022.0
HA10242025_Det2_Cu01_10cm_002.Spe,60CO,1173.228,707.5213648397963,797.9407891146182,0.9984999999999999,0.0003,0.0027816653247047874,3.206943702583768e-05,255253.35976556776,288049.0308724174,9.446131291746273,10.65979686449624,1.6362046980671023,10/24/2025 15:16:32,26967.0,27022.0
HA10242025_Det2_Cu01_10cm_002.Spe,56CO,1238.288,2250.6475665916773,61.35912963188087,0.6646,0.0012,0.0026472927786666857,3.407354707492703e-05,1281828.8319458046,47210.75382674426,47.43648996912903,1.7471228564408354,1.7945061164862948,10/24/2025 15:16:32,26967.0,27022.0
HA10242025_Det2_Cu01_10cm_002.Spe,60CO,1332.492,187.42792587054524,174.47130489207916,0.9998260000000001,5.999999999999999e-06,0.0024725662496323866,3.682274979590504e-05,75970.81590761917,70945.46859027997,2.8114431170016716,2.6254706753859804,1.3774022907450205,10/24/2025 15:16:32,26967.0,27022.0
HA10242025_Det2_Cu01_10cm_002.Spe,60CU,1332.5,1578.9566596711884,180.6825842999757,0.88,0.044000000000000004,0.0024725523101652683,3.682296960488263e-05,727154.8468357759,93262.30770300388,26.909734543548808,3.4513473356155684,1.3774022907450205,10/24/2025 15:16:32,26967.0,27022.0
