filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
CU09252025_Ni09_25cm_IDM.Spe,57CO,122.06065,35157.90337999868,563.2399402790492,0.856,0.0017,0.0037756134366272,6.1003347864931785e-05,12067242.184433524,283025.6363266633,7119.316922969631,166.97677659390166,5.6002891141246405,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,57NI,127.164,265816.2491957359,1217.864299625121,0.167,0.005,0.00379994598543,6.452092917106116e-05,464658599.8016605,16159600.948000116,274134.8671396227,9533.68787492632,5.6002891141246405,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,57CO,136.47356,4142.07136972746,124.57449073456256,0.1068,0.0008,0.0038127770065397,6.795954240519693e-05,11283693.149589604,439885.4251457442,6657.046105952569,259.5194248647458,0.7986901515091316,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,56NI,158.38,4650.584985618325,142.4386561802048,0.988,0.01,0.0036834656186884,5.732064490879592e-05,1417556.4693936473,54859.90637847565,836.316501117196,32.36572647697678,1.048687978055474,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,56NI,269.5,1603.9821220624756,140.76881739524734,0.365,0.008,0.0023601224130295,2.17939352397079e-05,2065468.0336374303,194760.53296455296,1218.5652115855048,114.9029693006212,1.0179811876489333,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,55CO,477.2,2810.7184905726317,159.82637829454467,0.2019999999999999,0.017,0.0013518119090952,9.560365336998995e-06,11418158.345164254,1182309.2182513862,6736.376604816669,697.5275623901983,3.082701061268273,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,56NI,749.95,618.072859833375,61.52642594245021,0.495,0.012,0.0008966726139102,7.63861274138095e-06,1544709.8550986045,170531.50471072056,911.3332478457844,100.60855735145756,1.065359580318851,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,56NI,811.85,1232.053204368799,67.34876124365228,0.86,0.009,0.0008346382196771,7.614149759513236e-06,1904053.2572701864,120310.42014496408,1123.3352550266586,70.97959890558352,0.9067809417570788,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,56CO,846.77,1790.3774341896308,87.79332167713261,0.999399,0.04996995,0.0008033957988042,7.604342463003779e-06,2473560.1565751876,184320.6041194099,1459.3275260030605,108.7437192444896,1.5630742635322508,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,55CO,931.1,5686.008677728268,126.87998234426198,0.75,0.0375,0.0007367567647061,7.5381326350095425e-06,11414804.320368577,653589.7422754265,6734.397829126003,385.5986680091012,1.806848172994903,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,56CO,1238.288,790.679243144838,52.91830885504382,0.6646,0.0012,0.0005632804318034,6.4571159695965486e-06,2342942.7947568316,179639.95878014815,1382.2671355497532,105.98227656645908,0.8925920784125975,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,55CO,1316.6,411.5597410682015,41.03288480006152,0.071,0.003,0.000531561505118,8.365516208387408e-06,12096712.59612566,1451761.1105963548,7136.703596534313,856.4962304403273,0.9614640602629811,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,57NI,1377.63,180984.82716813727,2111.7254741992965,0.8170000000000001,0.024,0.0005091677567864,1.201654925916582e-05,482620277.6321581,19071624.617756728,284731.72721661243,11251.695939679486,26.640131395630895,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,55CO,1408.5,1852.8777304348232,52.50184602332204,0.1689999999999999,0.008,0.0004985504201358,1.463358030732522e-05,24394803.19029828,1626415.113568528,14392.214271562403,959.5369401584236,1.0181581712746064,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,57NI,1757.55,11316.112188059958,150.27003586594665,0.0575,0.002,0.0004042698438939,8.546403115144426e-05,540013231.6550262,116028662.11812726,318591.8770826113,68453.48797529632,2.07058226952011,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,57NI,1919.52,22632.439152341445,373.32897554708705,0.123,0.004,0.0003721279723028,0.0001502708940503,548504609.6895586,222425541.59486696,323601.5396398576,131224.50831555572,6.2269406807267345,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,56CO,2034.791,69.05483103521381,8.313142932742625,0.0776999999999999,0.0003,0.0003523755527616,0.0002106275060798,2797780.418940829,1738853.2502009424,1650.6079167792502,1025.8721240123557,1.0828283617405785,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,56CO,2598.5,68.23428240011299,7.941254377479461,0.1697,0.0004,0.0002814749763427,0.0006720640087556,1584628.0645901882,3792886.9848017623,934.8838139175152,2237.691436461217,1.2644535177582177,09/25/2025 01:58:46,1528.0,1695.0
CU09252025_Ni09_25cm_IDM.Spe,57NI,2804.2,123.7263618908935,9.266228867224406,0.00098,4e-05,0.0002628567891182,0.0008932977740433,532798896.8603218,1811877881.352408,314335.63236597157,1068954.502272807,1.1252635764430623,09/25/2025 01:58:46,1528.0,1695.0
