filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
DH09252025_Ni01_30cm_IDM.Spe,55CO,91.9,9689.329196162127,204.1894995653361,0.0116,0.0009,0.0026483268565939,0.0001080694513208,343289689.712081,31147009.14936899,116685.82247181544,10587.018745536709,1.2788980945365906,09/25/2025 08:41:47,2703.0,2942.0
DH09252025_Ni01_30cm_IDM.Spe,57CO,122.06065,15779.47361307469,361.5382941328632,0.856,0.0017,0.002741857853779,5.803400277999667e-05,7317629.782108252,236017.2699591458,2487.2976825656874,80.22340923152474,2.875696552408997,09/25/2025 08:41:47,2703.0,2942.0
DH09252025_Ni01_30cm_IDM.Spe,57NI,127.164,179844.68867755588,747.728371792371,0.167,0.005,0.0027463409687519,6.267729894279056e-05,426798920.5759801,16196475.282809444,145071.01311216183,5505.2601233206815,2.875696552408997,09/25/2025 08:41:47,2703.0,2942.0
DH09252025_Ni01_30cm_IDM.Spe,57CO,136.47356,2096.0396300385773,176.309009070115,0.1068,0.0008,0.0027358688995906,8.861864294326944e-05,7807816.125134702,726495.6765210568,2653.914386517574,246.93938698880245,1.1383383655106856,09/25/2025 08:41:47,2703.0,2942.0
DH09252025_Ni01_30cm_IDM.Spe,56NI,158.38,41725.532621916784,307.07458002084365,0.988,0.01,0.0026258248740552,8.703013927407563e-05,17505551.973165043,626075.0917437954,5950.221608825644,212.80594552814256,1.468847141121611,09/25/2025 08:41:47,2703.0,2942.0
DH09252025_Ni01_30cm_IDM.Spe,56NI,269.5,10311.851496121802,218.98635112408184,0.365,0.008,0.0017297071519821,2.6139498118163248e-05,17777382.91951275,630213.906923543,6042.618259521669,214.212748784345,1.5428369103162782,09/25/2025 08:41:47,2703.0,2942.0
DH09252025_Ni01_30cm_IDM.Spe,55CO,385.4,2043.815317071703,142.78000749669565,0.0054,0.0005,0.001228161726495,3.1996514243665246e-05,335419998.93202657,40559131.02376925,114010.87659144343,13786.244399649644,1.4484523710250474,09/25/2025 08:41:47,2703.0,2942.0
DH09252025_Ni01_30cm_IDM.Spe,55CO,411.5,3938.956789071916,120.87061847829504,0.0107,0.0008,0.0011550619307159,3.3336730291830055e-05,346887612.46501017,30277727.567397945,117908.77378144466,10291.545740108071,1.0055788910308392,09/25/2025 08:41:47,2703.0,2942.0
DH09252025_Ni01_30cm_IDM.Spe,55CO,477.2,62076.75617811104,282.0246192653912,0.2019999999999999,0.017,0.0010071113284268,3.4564962231209916e-05,332121344.13403463,30252794.84122419,112889.6479041586,10283.070986140105,1.1621465933669772,09/25/2025 08:41:47,2703.0,2942.0
DH09252025_Ni01_30cm_IDM.Spe,56NI,480.44,5396.463376174138,132.10499456340384,0.365,0.008,0.001000863553136,3.451807255367016e-05,16078225.584955797,796546.7643840727,5465.066480270494,270.7500898654224,1.1621465933669772,09/25/2025 08:41:47,2703.0,2942.0
DH09252025_Ni01_30cm_IDM.Spe,55CO,520.0,2245.6293563181143,218.81594026071903,0.0083,0.0008,0.0009307449550573,3.3319488654296454e-05,316392307.9382197,45313456.87439531,107543.27258267156,15402.26270373736,5.996223794606539,09/25/2025 08:41:47,2703.0,2942.0
DH09252025_Ni01_30cm_IDM.Spe,56NI,749.95,4739.82375346611,1205.829318271905,0.495,0.012,0.0006633969505968,1.897933321334948e-05,15710143.281217106,4046344.813829488,5339.953528625801,1375.3721325049244,147.33511043465165,09/25/2025 08:41:47,2703.0,2942.0
DH09252025_Ni01_30cm_IDM.Spe,55CO,803.7,3538.3005777625576,87.19731094924002,0.0187,0.0015,0.0006213609684421,1.5248431950548066e-05,331440648.8356877,29508346.89835776,112658.27628677351,10030.029537171233,0.9928276243591904,09/25/2025 08:41:47,2703.0,2942.0
