filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
DL09252025_Ni05_30cm_IDM.Spe,57CO,122.06065,9720.71794665216,248.83506579667292,0.856,0.0017,0.002741857853779,5.803400277999667e-05,4360516.866910401,151686.68255691632,2604.848785490084,90.61331096589984,2.9556043785355985,09/25/2025 11:23:38,1590.0,1674.0
DL09252025_Ni05_30cm_IDM.Spe,57NI,127.164,121116.48085588776,600.847876095364,0.167,0.005,0.0027463409687519,6.267729894279056e-05,278029351.1413159,10587504.685234403,166086.8286387789,6324.674244464996,2.9556043785355985,09/25/2025 11:23:38,1590.0,1674.0
DL09252025_Ni05_30cm_IDM.Spe,57CO,136.47356,1087.986685970232,89.68105684862333,0.1068,0.0008,0.0027358688995906,8.861864294326944e-05,3920264.545782805,368147.93481869623,2341.854567373241,219.92110801594757,0.9374922193530478,09/25/2025 11:23:38,1590.0,1674.0
DL09252025_Ni05_30cm_IDM.Spe,56NI,158.38,23989.934922695677,173.078345273622,0.988,0.01,0.0026258248740552,8.703013927407563e-05,9735644.264069596,350307.1665074099,5815.7970514155295,209.2635403270071,0.9835624929326414,09/25/2025 11:23:38,1590.0,1674.0
DL09252025_Ni05_30cm_IDM.Spe,56NI,269.5,6197.473846038731,109.11348440784111,0.365,0.008,0.0017297071519821,2.6139498118163248e-05,10334931.118146298,355031.18510795035,6173.793977387275,212.0855347120373,0.9389307048613168,09/25/2025 11:23:38,1590.0,1674.0
DL09252025_Ni05_30cm_IDM.Spe,55CO,477.2,3388.841241774108,96.27167384753402,0.2019999999999999,0.017,0.0010071113284268,3.4564962231209916e-05,17538025.715323865,1696996.628148649,10476.717870563838,1013.7375317494916,1.411746251858868,09/25/2025 11:23:38,1590.0,1674.0
DL09252025_Ni05_30cm_IDM.Spe,56NI,480.44,3391.4892991156676,94.97919684265617,0.365,0.008,0.001000863553136,3.451807255367016e-05,9774195.951999689,512467.8246586684,5838.826733572096,306.1337064866597,1.411746251858868,09/25/2025 11:23:38,1590.0,1674.0
DL09252025_Ni05_30cm_IDM.Spe,56NI,749.95,2985.504749757749,71.76293094246402,0.495,0.012,0.0006633969505968,1.897933321334948e-05,9571883.980943302,460935.949820327,5717.971314780945,275.35002976124673,1.1070500151184692,09/25/2025 11:23:38,1590.0,1674.0
DL09252025_Ni05_30cm_IDM.Spe,58CO,810.7593,3043.577053586346,1997.746129019972,0.9945,0.049725,0.0006162131431253,1.4771783315441002e-05,5228858.458660984,3445651.9661492817,3123.571361207278,2058.334507855007,1.1752897642960562,09/25/2025 11:23:38,1590.0,1674.0
DL09252025_Ni05_30cm_IDM.Spe,56NI,811.85,4490.358739255544,1994.2312060525655,0.86,0.009,0.0006154249386996,1.4698587824084629e-05,8932351.928448023,3976049.579596534,5335.933051641591,2375.1789603324573,1.1752897642960562,09/25/2025 11:23:38,1590.0,1674.0
