filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
DZ09262025_Ni12_10cm_IDM.Spe,55CO,91.9,12799.410694835353,202.5763739414323,0.0116,0.0009,0.0180634305582755,0.0005329418839911,65830332.82407354,5593147.135406085,19059.158316176472,1619.3245904476216,1.0796633360107764,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,57CO,122.06065,191037.52510164867,725.2216141244211,0.856,0.0017,0.0189593522496325,0.0002657174933733,12685737.555210795,188165.6523384857,3672.767097629067,54.47760635161717,2.5319576242530424,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,57NI,127.164,152755.12553628752,655.9951817593247,0.167,0.005,0.018969366098078,0.0002539373818693,51966180.97332999,1723995.7688820935,15045.217421346262,499.1302168158928,2.5319576242530424,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,57CO,136.47356,22981.234214236443,173.82895129152482,0.1068,0.0008,0.0188254224864558,0.0003100001530676,12318325.167945316,254844.15385303405,3566.394084523832,73.78232595629242,0.6524674129679237,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,385.4,2417.173253647129,118.18850834665794,0.0054,0.0005,0.0080512237449028,8.011641951901713e-05,59916498.26410594,6418863.166278559,17346.98849568788,1858.3853984593395,0.9830691727308116,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,411.5,4704.191808274152,118.6745786187864,0.0107,0.0008,0.0075674315328861,7.86861938587068e-05,62610481.353192374,5066083.676720761,18126.948857322634,1466.7294952868444,0.9948997447079416,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,477.2,77563.83075245954,291.75852826422505,0.2019999999999999,0.017,0.0065919460299816,7.295625219373242e-05,62775262.43115813,5338544.231144349,18174.656175784057,1545.6121109277212,1.064293421087008,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,520.0,2865.6988291413204,307.5752484955665,0.0083,0.0008,0.0060903103739021,6.761305905121598e-05,61095233.301972374,8912806.211112684,17688.255154016322,2580.430286946347,12.531289559315942,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,803.7,4190.872000940259,88.23764258740619,0.0187,0.0015,0.004068982392552,3.7445265689127774e-05,59356909.25783983,5036906.288963581,17184.97662357841,1458.282075554019,1.0418567412028583,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,58CO,810.7593,840.8447184771671,64.43871021157453,0.9945,0.049725,0.0040354749851908,3.708161967179946e-05,225793.09311576755,22176.910229193345,65.3714803461979,6.420645694613013,1.0418567412028583,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,931.1,148372.6058312846,907.1426004580328,0.75,0.0375,0.0035343257938576,3.463562994340826e-05,60322617.75839733,3099523.7541920785,17464.567967109826,897.3722507794089,5.905673996849554,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,984.6,1081.6487567526426,117.35137136684016,0.0052,0.001,0.0033435278869541,3.499821940152446e-05,67045905.619119935,14959964.243067373,19411.090219779948,4331.199838757201,2.5762974206501337,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,1316.6,10110.422733082463,113.42196243269632,0.071,0.003,0.0024870142194399,4.0496486859041336e-05,61705943.451676555,2943354.3381551653,17865.06758878881,852.1581754936784,1.23347501230023,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,1370.0,4739.438405986068,204.35668530308837,0.0289999999999999,0.003,0.002386303564715,4.102434183613285e-05,73806990.12369806,8437040.533675939,21368.555334017965,2442.686894521117,7.451002765151795,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,57NI,1377.63,100731.2473000944,836.2882662114623,0.8170000000000001,0.024,0.0023725199969974,4.108341075016981e-05,56004970.50604029,1973446.522517469,16214.525334696087,571.3510487890761,7.451002765151795,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,1408.5,23067.700791252024,273.6823076527893,0.1689999999999999,0.008,0.0023182895371691,4.128273481812196e-05,63451841.27536254,3322619.938095114,18370.5388753221,961.9629235944165,3.426388632874572,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,57NI,1757.55,6202.141821072665,103.2740917754088,0.0575,0.002,0.0018393488998066,4.0391575153183875e-05,63198101.284846775,2917098.1759203877,18297.076226070287,844.5565072149357,1.7361700568551144,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,57NI,1919.52,13279.665933646878,246.99445586154997,0.123,0.004,0.0016777406082195,3.89140784181415e-05,69350807.38681988,3114454.585131407,20078.40399155179,901.6950159616116,4.258082064361357,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,2144.2,62.5415941416158,8.615970730839928,0.0009,8.999999999999999e-05,0.0014958137375224,3.652215005843538e-05,50066037.39309742,10687004.67400359,14495.088996264454,3094.0951574995916,1.5508283917439685,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,2177.6,208.1716092980192,15.223891522659889,0.0029,0.0004,0.0014721906751281,3.6149962901665794e-05,52547703.22768499,9068075.23762828,15213.57939423422,2625.3836820000815,1.448121287446014,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,57NI,2804.2,34.533064965675536,5.326600750827265,0.00098,4e-05,0.0011403768447458,2.9521352413502884e-05,33300822.39353609,7815826.621326903,9641.234045609754,2262.8334167130583,1.3634569120501214,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,2872.4,15.5758307282467,5.128127917826299,0.00118,8e-05,0.0011137025981457,2.88869524587481e-05,12773040.171687184,5386948.208687569,3698.042898577644,1559.626001357142,1.643040168862458,09/26/2025 01:49:38,3205.0,3454.0
DZ09262025_Ni12_10cm_IDM.Spe,55CO,2938.9,0.5583432292048813,3.0111416197916787,0.00057,0.0001,0.001088994726379,2.828851134023393e-05,969381.9326512654,5389175.045137477,280.65487337905773,1560.270713705118,1.3119062377654147,09/26/2025 01:49:38,3205.0,3454.0
