sample,isotope,EoB,units,A0_parent,A0_err_parent,A0_vector,cov_A0,peak_data_file,plot_file
Ni01,57NI,09/24/2025 15:43:00,h,296102.52016582317,34362.30267082633,"[296102.52016582317, 0.0]","[[1180767844.841478, 0.0], [0.0, 0.0]]",Ni01_peakData_combined.csv,
Ni01,56CO,09/24/2025 15:43:00,h,6793.191569540636,64.72935165120387,[6793.191569540636],[[4189.888965185209]],Ni01_peakData_combined.csv,
Ni01,56NI,09/24/2025 15:43:00,h,7022.474319817493,1051.8507424731174,"[7022.474319817493, 0.0]","[[1106389.9844412482, 0.0], [0.0, 0.0]]",Ni01_peakData_combined.csv,
Ni01,58CO,09/24/2025 15:43:00,h,2629.2209861070523,269.50330904120216,[2629.2209861070523],[[72632.03358415772]],Ni01_peakData_combined.csv,
Ni01,57CO,09/24/2025 15:43:00,h,2989.2023381828913,94.81443186502156,[2989.2023381828913],[[8989.776489886817]],Ni01_peakData_combined.csv,
Ni01,55CO,09/24/2025 15:43:00,h,225735.52886972335,4497.758391137729,"[225735.52886972335, 0.0]","[[20229830.545049846, 0.0], [0.0, 0.0]]",Ni01_peakData_combined.csv,
Ni02,57NI,09/24/2025 15:43:00,h,308450.07579927566,35626.89547245424,"[308450.07579927566, 0.0]","[[1269275681.0051804, 0.0], [0.0, 0.0]]",Ni02_peakData_combined.csv,
Ni02,56CO,09/24/2025 15:43:00,h,9008.461261803617,99.1851971556637,[9008.461261803617],[[9837.703334807878]],Ni02_peakData_combined.csv,
Ni02,56NI,09/24/2025 15:43:00,h,8370.162400929901,1275.718620045056,"[8370.162400929901, 0.0]","[[1627457.997529662, 0.0], [0.0, 0.0]]",Ni02_peakData_combined.csv,
Ni02,58CO,09/24/2025 15:43:00,h,3416.087384553768,207.67559332769983,[3416.087384553768],[[43129.15206401217]],Ni02_peakData_combined.csv,
Ni02,57CO,09/24/2025 15:43:00,h,3149.590360973088,105.4807244225801,[3149.590360973088],[[11126.183224712284]],Ni02_peakData_combined.csv,
Ni02,55CO,09/24/2025 15:43:00,h,167626.04486468513,4229.432069809754,"[167626.04486468513, 0.0]","[[17888095.63313522, 0.0], [0.0, 0.0]]",Ni02_peakData_combined.csv,
Ni03,57NI,09/24/2025 15:43:00,h,315037.3959840068,33276.26189422017,"[315037.3959840068, 0.0]","[[1107309605.6527297, 0.0], [0.0, 0.0]]",Ni03_peakData_combined.csv,
Ni03,56CO,09/24/2025 15:43:00,h,11617.939220597287,257.53118411247056,[11617.939220597287],[[66322.31079037121]],Ni03_peakData_combined.csv,
Ni03,56NI,09/24/2025 15:43:00,h,8119.507068470325,1061.1495353674381,"[8119.507068470325, 0.0]","[[1126038.3364105297, 0.0], [0.0, 0.0]]",Ni03_peakData_combined.csv,
Ni03,58CO,09/24/2025 15:43:00,h,4541.3975183789635,290.71764270338997,[4541.3975183789635],[[84516.74777901592]],Ni03_peakData_combined.csv,
Ni03,57CO,09/24/2025 15:43:00,h,3086.9291937831317,156.0835408193159,[3086.9291937831317],[[24362.071714695056]],Ni03_peakData_combined.csv,
Ni03,55CO,09/24/2025 15:43:00,h,83276.68214060705,5375.348624744901,"[83276.68214060705, 0.0]","[[28894372.8375469, 0.0], [0.0, 0.0]]",Ni03_peakData_combined.csv,
Ni04,57NI,09/24/2025 15:43:00,h,334653.7132903472,37139.905215447136,"[334653.7132903472, 0.0]","[[1379372559.4123974, 0.0], [0.0, 0.0]]",Ni04_peakData_combined.csv,
Ni04,56CO,09/24/2025 15:43:00,h,12829.8150786869,224.92249608395065,[12829.8150786869],[[50590.129244634794]],Ni04_peakData_combined.csv,
Ni04,56NI,09/24/2025 15:43:00,h,8559.53231336226,1264.1398600366788,"[8559.53231336226, 0.0]","[[1598049.5857335539, 0.0], [0.0, 0.0]]",Ni04_peakData_combined.csv,
Ni04,58CO,09/24/2025 15:43:00,h,4841.284964335653,242.22458357993105,[4841.284964335653],[[58672.748890471004]],Ni04_peakData_combined.csv,
Ni04,57CO,09/24/2025 15:43:00,h,3027.3388553008563,168.91316454493685,[3027.3388553008563],[[28531.657156584908]],Ni04_peakData_combined.csv,
