filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
FR09292025_Ni06_10cm_IDM.Spe,57CO,122.06065,889839.564810237,2840.489665286154,0.856,0.0017,0.0189593522496325,0.0002657174933733,59054801.5765584,859203.9191542375,4130.284066062275,60.092594709346585,8.4836001041792,09/29/2025 18:02:19,13275.0,14298.0
FR09292025_Ni06_10cm_IDM.Spe,57NI,127.164,1096699.9016732238,3097.6949775106596,0.167,0.005,0.018969366098078,0.0002539373818693,372871575.7886072,12279339.305689352,26078.582724059816,858.8151703517523,8.4836001041792,09/29/2025 18:02:19,13275.0,14298.0
FR09292025_Ni06_10cm_IDM.Spe,57CO,136.47356,108922.78174715803,490.0360840381565,0.1068,0.0008,0.0188254224864558,0.0003100001530676,58350355.03203094,1102028.4222529165,4081.015179188064,77.07570445187554,1.1928363056940394,09/29/2025 18:02:19,13275.0,14298.0
FR09292025_Ni06_10cm_IDM.Spe,56NI,158.38,559273.3031534231,1193.724071236695,0.988,0.01,0.0178498763860522,0.0003745116570673,34156447.46146613,800309.7194794376,2388.896870993575,55.97354311648046,2.329528901399057,09/29/2025 18:02:19,13275.0,14298.0
FR09292025_Ni06_10cm_IDM.Spe,56NI,269.5,135156.08295109982,462.8286855175569,0.365,0.008,0.0114102801297872,8.777462982527642e-05,34953219.83696822,826177.3520596215,2444.62301279677,57.782721503680335,1.0126184914546674,09/29/2025 18:02:19,13275.0,14298.0
FR09292025_Ni06_10cm_IDM.Spe,55CO,477.2,1865.1323582933192,200.7973890443241,0.2019999999999999,0.017,0.0065919460299816,7.295625219373242e-05,1508639.2665898155,209758.5909447409,105.5140066155977,14.67048474924751,1.1803963758436442,09/29/2025 18:02:19,13275.0,14298.0
FR09292025_Ni06_10cm_IDM.Spe,56NI,480.44,74691.14725850463,354.47345181415557,0.365,0.008,0.0065508589197923,7.258424385264235e-05,33644864.39926443,850537.1119886155,2353.11682747688,59.48643950123203,1.1803963758436442,09/29/2025 18:02:19,13275.0,14298.0
FR09292025_Ni06_10cm_IDM.Spe,56NI,749.95,68600.77865291368,307.25494406885076,0.495,0.012,0.0043427249583684,4.102786692218951e-05,34371800.67034695,916888.4921538298,2403.958642491744,64.12704519190305,1.1401950084627992,09/29/2025 18:02:19,13275.0,14298.0
FR09292025_Ni06_10cm_IDM.Spe,58CO,810.7593,196457.83926065295,9017.398719663772,0.9945,0.049725,0.0040354749851908,3.708161967179946e-05,52724282.59078801,3613182.7023283527,3687.528506839278,252.70546246526456,1.5035207133279118,09/29/2025 18:02:19,13275.0,14298.0
FR09292025_Ni06_10cm_IDM.Spe,56NI,811.85,43711.01995118816,8974.708963223731,0.86,0.009,0.004030344807425,3.702773658984414e-05,13582854.523652343,2795982.028849718,949.9828314206424,195.550568530544,1.5035207133279118,09/29/2025 18:02:19,13275.0,14298.0
