filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
FU09302025_Ni04_10cm_IDM.Spe,57CO,122.06065,261650.30762301988,839.7363819725653,0.856,0.0017,0.0189593522496325,0.0002657174933733,17201999.993224926,251931.2621920441,2999.4768950697344,43.92872924011231,2.454769913056722,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,57NI,127.164,244591.47071047153,811.5586528660366,0.167,0.005,0.018969366098078,0.0002539373818693,82380983.54438935,2720709.0705806776,14364.60044365987,474.4043715049133,2.454769913056722,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,57CO,136.47356,32262.30700849457,261.9201627679606,0.1068,0.0008,0.0188254224864558,0.0003100001530676,17121207.433127526,352622.2137596821,2985.3892647127336,61.48600065556793,1.00827591158615,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56NI,158.38,367504.60122672905,1069.7432593193062,0.988,0.01,0.0178498763860522,0.0003745116570673,22234408.32803047,523264.1329525728,3876.9674503976416,91.24047653924548,3.0742202716461686,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56NI,269.5,88980.3848407497,326.2674113087924,0.365,0.008,0.0114102801297872,8.777462982527642e-05,22796074.21394743,541496.576446379,3974.903960583684,94.41962972037994,0.950008745386404,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56NI,480.44,49060.34430044821,431.9358303560064,0.365,0.008,0.0065508589197923,7.258424385264235e-05,21892453.422931664,579656.4926573355,3817.341486125835,101.07349479639676,3.1258436136072767,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56NI,749.95,45196.85644336585,410.105526257222,0.495,0.012,0.0043427249583684,4.102786692218951e-05,22433428.90018999,627097.1489316293,3911.6702528666065,109.3456231790112,3.4201017144486023,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,58CO,810.7593,112348.08181168734,7073.894295167542,0.9945,0.049725,0.0040354749851908,3.708161967179946e-05,29869033.395912744,2418804.0484671197,5208.201115241978,421.76182187744024,1.2945054320526512,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56NI,811.85,36172.442037253575,7049.388113973489,0.86,0.009,0.004030344807425,3.702773658984414e-05,11135048.90913527,2176350.6329049515,1941.5952762223665,379.48572500522255,1.2945054320526512,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56CO,846.77,221397.88648927127,1169.3535845368854,0.999399,0.04996995,0.0038724075692494,3.5628716457661805e-05,61039146.65738049,3122595.425735027,10643.26881558509,544.4804578439455,6.5118001930193845,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,55CO,931.1,1804.0199062436343,214.7051460163907,0.75,0.0375,0.0035343257938576,3.463562994340826e-05,726153.5007538056,95551.66448893637,126.61787284286062,16.661144636257433,5.730316886998346,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56CO,977.372,2363.0445801307824,124.05969843092136,0.01421,6e-05,0.0033683715238106,3.4937886425413026e-05,52676001.75447966,3028224.3762566396,9185.00466512287,528.0251745870339,1.7687430846921517,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56CO,1037.843,25224.332902831866,182.32358458459703,0.1405,0.0004,0.0031695278059677,3.547403634574414e-05,60437118.8758311,907081.210090393,10538.294485759565,158.16586052142858,1.088458275649607,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56CO,1175.101,3642.6002252198577,96.05462999349125,0.02252,6e-05,0.0027949333442736,3.809371497683953e-05,61748529.92671815,2105578.517542459,10766.962498119992,367.1453387170809,1.018943299734434,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56CO,1238.288,103150.4157802258,826.1281951246788,0.6646,0.0012,0.0026493600060946,3.934287253052325e-05,62506419.67533784,1078338.8554115556,10899.114154374514,188.0276992871065,6.873953431703206,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56CO,1360.212,6166.8392144233085,139.44877946325985,0.04283,0.00012,0.002404206395019,4.094269992827289e-05,63899543.657231145,1991522.9989626736,11142.030280249546,347.25771559942,2.3151383970785444,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,57NI,1377.63,158773.18989385065,1574.3248257530977,0.8170000000000001,0.024,0.0023725199969974,4.108341075016981e-05,87397736.63824601,3111418.9421822806,15239.361227244292,542.5316376952538,16.68892584258828,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56NI,1561.8,6146.911975319924,95.94062264090854,0.14,0.006,0.0020810861204269,4.147205462666498e-05,22510951.85980309,1156667.4252785074,3925.187769800016,201.68568880183216,1.165826544262193,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,57NI,1757.55,9807.367863982445,167.63294179709598,0.0575,0.002,0.0018393488998066,4.0391575153183875e-05,98940809.1152505,4519091.937425293,17252.102722798692,787.984644712344,2.55887374062363,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56CO,1771.357,17179.060549634898,212.70643519549512,0.1541,0.0006,0.0018243696700063,4.028001202635405e-05,65198691.806623705,1742347.399456482,11368.560036028544,303.8094855198748,2.55887374062363,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56CO,1810.757,767.8535835263926,47.32377523863359,0.0064,3e-05,0.0017829321738459,3.994431181869277e-05,71799029.34095944,5384755.711440537,12519.44713878979,938.9286332067196,1.2226665669188683,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,57NI,1919.52,20544.83590648712,252.47266796531557,0.123,0.004,0.0016777406082195,3.89140784181415e-05,106225235.52795333,4500790.839540504,18522.272977847137,784.7935204081087,3.2284375631681312,09/30/2025 12:19:46,5375.0,5735.0
FU09302025_Ni04_10cm_IDM.Spe,56CO,1963.741,816.0818540844024,37.28690527174217,0.00707,4e-05,0.0016384498177897,3.846429414394575e-05,75168540.28902122,4691920.682575506,13106.981741764816,818.1204328815181,1.0354645615680256,09/30/2025 12:19:46,5375.0,5735.0
