sample,isotope,EoB,units,A0_parent,A0_err_parent,A0_vector,cov_A0,peak_data_file,plot_file
Ni01,57NI,09/24/2025 15:43:00,h,296102.52014204196,34362.30267468427,"[296102.52014204196, 0.0]","[[1180767845.1066139, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni01_peakData_combined.csv,
Ni01,56CO,09/24/2025 15:43:00,h,6793.1915695779435,64.72935168703025,[6793.1915695779435],[[4189.888969823245]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni01_peakData_combined.csv,
Ni01,56NI,09/24/2025 15:43:00,h,7022.474319817494,1051.8507466790775,"[7022.474319817494, 0.0]","[[1106389.9932893328, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni01_peakData_combined.csv,
Ni01,58CO,09/24/2025 15:43:00,h,2629.2209861070523,269.50330904120216,[2629.2209861070523],[[72632.03358415772]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni01_peakData_combined.csv,
Ni01,57CO,09/24/2025 15:43:00,h,2989.2023381828913,94.81443186502156,[2989.2023381828913],[[8989.776489886817]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni01_peakData_combined.csv,
Ni01,55CO,09/24/2025 15:43:00,h,225735.5288604555,4497.758364753118,"[225735.5288604555, 0.0]","[[20229830.307706647, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni01_peakData_combined.csv,
Ni02,57NI,09/24/2025 15:43:00,h,308450.07591854833,35626.89549381011,"[308450.07591854833, 0.0]","[[1269275682.5268672, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni02_peakData_combined.csv,
Ni02,56CO,09/24/2025 15:43:00,h,9008.461261803617,99.18519715566372,[9008.461261803617],[[9837.70333480788]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni02_peakData_combined.csv,
Ni02,56NI,09/24/2025 15:43:00,h,8370.162439038895,1275.7186213920152,"[8370.162439038895, 0.0]","[[1627458.0009663436, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni02_peakData_combined.csv,
Ni02,58CO,09/24/2025 15:43:00,h,3416.087384553768,207.67559332769983,[3416.087384553768],[[43129.15206401217]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni02_peakData_combined.csv,
Ni02,57CO,09/24/2025 15:43:00,h,3149.590360973088,105.4807244225801,[3149.590360973088],[[11126.183224712284]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni02_peakData_combined.csv,
Ni02,55CO,09/24/2025 15:43:00,h,167626.04486468513,4229.432069809754,"[167626.04486468513, 0.0]","[[17888095.63313522, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni02_peakData_combined.csv,
Ni03,57NI,09/24/2025 15:43:00,h,315037.3959109878,33276.26184585527,"[315037.3959109878, 0.0]","[[1107309602.433923, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni03_peakData_combined.csv,
Ni03,56CO,09/24/2025 15:43:00,h,11617.939220597287,257.5311841124706,[11617.939220597287],[[66322.31079037124]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni03_peakData_combined.csv,
Ni03,56NI,09/24/2025 15:43:00,h,8119.507146518505,1061.1495375801064,"[8119.507146518505, 0.0]","[[1126038.3411064735, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni03_peakData_combined.csv,
Ni03,58CO,09/24/2025 15:43:00,h,4541.3975183789635,290.71764270338997,[4541.3975183789635],[[84516.74777901592]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni03_peakData_combined.csv,
Ni03,57CO,09/24/2025 15:43:00,h,3086.9291937831317,156.0835408193159,[3086.9291937831317],[[24362.071714695056]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni03_peakData_combined.csv,
Ni03,55CO,09/24/2025 15:43:00,h,83276.68214299077,5375.348629404221,"[83276.68214299077, 0.0]","[[28894372.887637842, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni03_peakData_combined.csv,
Ni04,57NI,09/24/2025 15:43:00,h,334653.71336789033,37139.90522493226,"[334653.71336789033, 0.0]","[[1379372560.116951, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni04_peakData_combined.csv,
Ni04,56CO,09/24/2025 15:43:00,h,12829.81507099123,224.9224961859889,[12829.81507099123],[[50590.1292905362]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni04_peakData_combined.csv,
Ni04,56NI,09/24/2025 15:43:00,h,8559.532406878692,1264.139864573778,"[8559.532406878692, 0.0]","[[1598049.5972046095, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni04_peakData_combined.csv,
Ni04,58CO,09/24/2025 15:43:00,h,4841.284964335653,242.22458357993105,[4841.284964335653],[[58672.748890471004]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni04_peakData_combined.csv,
Ni04,57CO,09/24/2025 15:43:00,h,3027.3388553008563,168.91316454493685,[3027.3388553008563],[[28531.657156584908]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni04_peakData_combined.csv,
Ni04,55CO,09/24/2025 15:43:00,h,38115.95949430036,1670.773783959731,"[38115.95949430036, 0.0]","[[2791485.037167118, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni04_peakData_combined.csv,
Ni05,57NI,09/24/2025 15:43:00,h,357307.5769430401,40105.896607491,"[357307.5769430401, 0.0]","[[1608482942.690758, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni05_peakData_combined.csv,
Ni05,56CO,09/24/2025 15:43:00,h,11323.417011940233,130.4788272545049,[11323.417011940233],[[17024.724361710927]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni05_peakData_combined.csv,
