filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
CE230217_Ti08_18cm_50MeV.Spe,47SC,159.381,62143.67553150574,101616.92323499118,0.6829999999999999,0.004,0.005340520375215587,0.0004456274395920768,17066459.213016883,27943533.785380118,517.1497594926482,846.7480920390327,1.7658798479282751,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,47V,159.8,84316.13003887252,101637.36049238218,0.00107,6e-05,0.005332948670513809,0.0004414183605114722,14801654220.845667,17903723342.83825,448521.3848321465,542520.630975978,1.7658798479282751,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,45K,174.28,1348.0655650422684,781.3640989252852,0.74,0.05,0.005061540932706355,0.00032541545199020374,360534.9016084677,211888.58113171763,10.92496898907511,6.420671529096622,8.722137788790699,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,48SC,175.361,2430.0909885353217,785.6901662085477,0.0748,0.001,0.005040943492809582,0.00031926827636717995,6455945.8457611995,2132765.0824903958,195.62879445353775,64.62728652132952,8.722137788790699,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,47V,244.4,264.97648615070307,142.54517884339623,0.00094,5e-05,0.00389784578030237,0.0002053758486704821,72444530.43033406,39598343.75002974,2195.2222790319706,1199.9134495933379,2.531334963932651,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,44SCm,271.241,46916.278180859656,219.18908283513258,0.867,0.003,0.0035735209794589746,0.0001640540738755675,15169067.711847115,705431.997244097,459.65478960780325,21.376079429232355,0.8950220757474616,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,44K,368.207,36.01511425692976,59.1863016733318,0.023,0.004,0.002793992558735596,0.0001270670350437218,561413.0280926117,932817.4746137589,17.012000487640123,28.266339644670126,1.182934275520949,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,44K,651.355,127.42103413792722,67.52473302323192,0.03,0.005,0.0018162164145012884,0.00010838153532347442,2342626.4645256484,1325224.4414925424,70.98652963624279,40.15709952706107,0.9158079613768714,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,44K,726.49,103.39680666657844,50.65914575620936,0.038,0.006,0.001671445784485615,9.144430268075583e-05,1630729.7943526632,859265.0099313952,49.41455696350605,26.037544617781133,0.8941280546982152,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,44K,747.63,27.906148724574106,53.43207875525913,0.021,0.003,0.001635031971794328,8.686065521994708e-05,814151.3197121628,1571367.9422378226,24.67050452144368,47.6157674687986,0.901419208434795,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,44K,876.53,1.7830682620053774e-07,28.254729138565036,0.017,0.003,0.0014442056861631214,6.447607913126384e-05,0.007275130175815624,1152826.48998105,2.2045180981835775e-07,34.933077481926304,0.9619927653601755,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,46SC,889.277,19075.22498911032,210.07978610205845,0.99984,1e-05,0.0014277692710629793,6.29815803956294e-05,13385416.891396927,616248.7859889794,405.6064025755864,18.673639768157916,2.2233737231765835,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,48V,928.327,738.6670266711576,51.13615390732828,0.00783,3e-05,0.0013795032581557292,5.9474331074239204e-05,68503851.7633067,6134691.321484272,2075.811392482249,185.8941038600125,0.9047004517639032,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,48V,944.13,7561.677852357937,96.37886123903809,0.0787,7.000000000000001e-05,0.0013607650737800536,5.850219868836886e-05,70731204.83560814,3274949.17800634,2143.304894870099,99.23787697361716,1.0062262312131849,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,48V,983.525,72978.7898271997,6003.589398555946,0.9998,0.0004,0.0013159214363532522,5.693680556341623e-05,55565385.8132527,5168912.104975199,1683.7485474153118,156.6289538188297,4.013807009293372,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,48SC,983.526,22623.46668127755,6009.802227523048,1.001,0.006,0.001315920330688286,5.6936778942054086e-05,17204666.19846872,4633114.195902419,521.3377230528989,140.3931455380873,4.013807009293372,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,44K,1024.738,6.114487690713531e-21,27.06222608239364,0.067,0.01,0.0012717252944632047,5.6270275019610196e-05,7.188573767769571e-17,318160.4385414057,2.1782896784247663e-21,9.640933260852874,0.9665560694817875,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,48SC,1037.522,2685.43957605588,68.1459874943659,0.976,0.006999999999999999,0.001258623129387581,5.620432380162361e-05,2189881.5756959133,121175.26377886353,66.35803689875802,3.67186642158915,0.9665560694817875,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,46SC,1120.545,15671.702166458355,172.33472863797607,0.9998699999999999,1e-05,0.0011801503277740558,5.7397918871479176e-05,13304117.47230914,671851.9518819737,403.1428584682022,20.358533131783087,1.8543256652879843,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,44K,1126.076,182.47977190555324,52.873780769164696,0.076,0.012,0.0011752930915070441,5.7577747524944344e-05,2046471.6120690978,699302.8836707177,62.012412110817785,21.190354342920447,1.8543256652879843,02/23/2017 11:02:00,32944.0,33001.0
CE230217_Ti08_18cm_50MeV.Spe,44K,1157.002,17192.028579181646,238.60254676634986,0.58,0.09,0.0011488623729952652,5.8759870266065284e-05,25845318.938531812,4242506.483186667,783.1677506297328,128.55690685696393,3.3863750999282236,02/23/2017 11:02:00,32944.0,33001.0
