Sample,Length (mm),Width (mm),Thickness (mm),Mass (g),Length_mean,Length_U,Width_mean,Width_U,Thickness_mean,Thickness_U
Cu 01,25.66,24.87,0.03,0.1398,25.66,0.005773502691896258,24.87,0.005773502691896258,0.03,0.0005773502691896258
Cu 02,25.34,25.34,0.03,0.1427,25.34,0.005773502691896258,25.34,0.005773502691896258,0.03,0.0005773502691896258
Cu 03,25.39,25.3,0.029,0.1429,25.39,0.005773502691896258,25.3,0.005773502691896258,0.029,0.0005773502691896258
Cu 04,25.37,25.47,0.029,0.144,25.37,0.005773502691896258,25.47,0.005773502691896258,0.029,0.0005773502691896258
Cu 05,25.34,25.31,0.03,0.1431,25.34,0.005773502691896258,25.31,0.005773502691896258,0.03,0.0005773502691896258
Cu 06,24.72,25.39,0.03,0.1395,24.72,0.005773502691896258,25.39,0.005773502691896258,0.03,0.0005773502691896258
Cu 07,25.4,25.44,0.03,0.1438,25.4,0.005773502691896258,25.44,0.005773502691896258,0.03,0.0005773502691896258
Cu 08,25.19,25.18,0.03,0.1408,25.19,0.005773502691896258,25.18,0.005773502691896258,0.03,0.0005773502691896258
Cu 09,25.16,25.0,0.029,0.1389,25.16,0.005773502691896258,25.0,0.005773502691896258,0.029,0.0005773502691896258
Cu 10,25.4,25.3,0.029,0.0295,25.4,0.005773502691896258,25.3,0.005773502691896258,0.029,0.0005773502691896258
Cu 11,24.84,24.93,0.03,0.1375,24.84,0.005773502691896258,24.93,0.005773502691896258,0.03,0.0005773502691896258
Cu 12,25.07,24.94,0.03,0.1386,25.07,0.005773502691896258,24.94,0.005773502691896258,0.03,0.0005773502691896258
Cu 13,24.96,24.75,0.03,0.1369,24.96,0.005773502691896258,24.75,0.005773502691896258,0.03,0.0005773502691896258
Cu 14,25.04,24.84,0.029,0.1376,25.04,0.005773502691896258,24.84,0.005773502691896258,0.029,0.0005773502691896258
